---SFT---,
MeasureDate:,20250722_163039,
CWFi:,5,
CCWFi:,5,
CWfii:,5,
CCWfii:,4,
CWfl:,6,
CCWfl:,5,
CWfk:,1,
CCWfk:,1,
CWFiValue:,24.1,
CCWFiValue:,18.2,
CWfiiValue:,11.17,
CCWfiiValue:,7.68,
CWflValue:,23.12,
CCWflValue:,18.13,
CWfkValue:,2.83,
CCWfkValue:,2.54,
BacklashMeanValue:,96.52,
BacklashDiffValue:,16.06,
BacklashMaxValue:,102.97,
BacklashMinValue:,86.92,
CWTotalTime:,21.1226349,
CCWTotalTime:,21.1253035,
XAxisLocation:,28.256,
YAxisLocation:,35.258,
ZAxisLocation:,0,
XAxisRelLocation:,23.958,
YAxisRelLocation:,30.96,
ZAxisRelLocation:,0,
JudgeResult:,6,
,CWResultXArray,CWResultYArray,CCWResultXArray,CCWResultYArray,BacklashXArray,BacklashYArray,
SFT:,99.759,-12.217304763959122,99.856,-102.97442586766124,99.759,90.75712110370212,
SFT:,100.318,-11.86823891355858,100.406,-102.97442586766613,100.318,91.10618695410754,
SFT:,100.876,-12.566370614359663,100.966,-103.3234917180615,100.876,90.75712110370185,
SFT:,101.436,-12.217304763964076,101.334,-103.67255756846214,101.436,91.45525280449806,
SFT:,101.991,-12.566370614359663,101.883,-104.71975511965873,101.991,92.15338450529907,
SFT:,102.371,-12.566370614359663,102.44,-104.71975511965873,102.371,92.15338450529907,
SFT:,102.935,-12.566370614359663,103,-105.41788682045994,102.935,92.85151620610029,
SFT:,103.474,-12.217304763964076,103.388,-105.76695267086056,103.474,93.54964790689648,
SFT:,103.854,-12.217304763959122,103.945,-106.11601852125105,103.854,93.89871375729193,
SFT:,104.405,-12.217304763959122,104.497,-107.16321607245254,104.405,94.94591130849342,
SFT:,104.97,-11.86823891355858,104.685,-107.16321607245254,104.97,95.29497715889396,
SFT:,105.143,-11.868238913563534,105.24,-107.86134777324887,105.143,95.99310885968534,
SFT:,105.698,-11.86823891355858,105.799,-108.21041362364912,105.698,96.34217471009053,
SFT:,106.252,-11.519173063162995,106.363,-108.55947947404485,106.252,97.04030641088185,
SFT:,106.809,-11.519173063162995,106.923,-108.90854532444547,106.809,97.38937226128247,
SFT:,107.367,-11.519173063162995,107.489,-109.2576111748457,107.367,97.73843811168271,
SFT:,107.918,-11.170107212767444,107.861,-108.90854532444547,107.918,97.73843811167802,
SFT:,108.479,-11.519173063162995,108.404,-108.21041362364912,108.479,96.69124056048612,
SFT:,108.858,-12.217304763964076,108.963,-107.86134777324887,108.858,95.64404300928479,
SFT:,109.423,-12.915436464760166,109.149,-107.51228192285315,109.423,94.59684545809299,
SFT:,109.973,-13.613568165556293,109.701,-107.16321607244764,109.973,93.54964790689135,
SFT:,110.157,-13.613568165556293,110.262,-106.46508437165656,110.157,92.85151620610027,
SFT:,110.716,-13.962634015951844,110.82,-106.11601852125105,110.716,92.1533845052992,
SFT:,111.271,-13.9626340159568,111.175,-105.41788682045471,111.271,91.45525280449792,
SFT:,111.836,-14.311699866352386,111.739,-105.41788682045994,111.836,91.10618695410756,
SFT:,112.393,-14.311699866352386,112.287,-105.41788682045994,112.393,91.10618695410756,
SFT:,112.773,-14.660765716752927,112.833,-105.41788682045471,112.773,90.75712110370179,
SFT:,113.314,-14.311699866352386,113.406,-105.41788682045994,113.314,91.10618695410756,
SFT:,113.875,-15.009831567153466,113.962,-105.06882097005933,113.875,90.05898940290587,
SFT:,114.435,-15.009831567153466,114.338,-105.06882097005443,114.435,90.05898940290096,
SFT:,114.994,-15.009831567153466,114.891,-104.71975511966362,114.994,89.70992355251015,
SFT:,115.385,-15.009831567153466,115.46,-104.37068926925811,115.385,89.36085770210464,
SFT:,115.951,-15.358897417549018,115.645,-104.37068926925811,115.951,89.01179185170909,
SFT:,116.487,-14.660765716752927,116.194,-104.37068926926335,116.487,89.70992355251042,
SFT:,116.669,-15.358897417549018,116.764,-104.37068926925811,116.669,89.01179185170909,
SFT:,117.322,-15.009831567153466,117.307,-104.37068926926335,117.322,89.36085770210988,
SFT:,117.79,-15.009831567153466,117.875,-104.37068926926335,117.79,89.36085770210988,
SFT:,118.347,-15.358897417549018,118.421,-104.71975511966362,118.347,89.3608577021146,
SFT:,118.906,-15.358897417553974,118.981,-104.71975511965873,118.906,89.36085770210475,
SFT:,119.474,-15.707963267949557,119.358,-105.06882097005933,119.474,89.36085770210978,
SFT:,119.86,-15.707963267949557,119.92,-106.11601852125592,119.86,90.40805525330637,
SFT:,120.402,-15.358897417549018,120.461,-106.11601852125592,120.402,90.75712110370691,
SFT:,120.964,-15.358897417549018,120.651,-106.46508437165166,120.964,91.10618695410264,
SFT:,121.152,-15.358897417549018,121.208,-106.46508437165166,121.152,91.10618695410264,
SFT:,121.703,-15.009831567153466,121.783,-107.16321607245254,121.703,92.15338450529907,
SFT:,122.264,-15.009831567148511,122.154,-107.86134777324887,122.264,92.85151620610036,
SFT:,122.819,-14.660765716752927,122.699,-108.90854532444547,122.819,94.24777960769254,
SFT:,123.38,-14.660765716752927,123.269,-109.2576111748457,123.38,94.59684545809279,
SFT:,123.94,-14.311699866352386,123.821,-109.60667702524145,123.94,95.29497715888907,
SFT:,124.326,-14.66076571674797,124.383,-109.95574287564206,124.326,95.29497715889408,
SFT:,124.892,-13.962634015951844,124.927,-110.30480872604232,124.892,96.34217471009048,
SFT:,125.447,-13.9626340159568,125.49,-110.30480872603745,125.447,96.34217471008066,
SFT:,125.989,-13.264502315160708,125.864,-110.30480872604232,125.989,97.04030641088161,
SFT:,126.166,-13.613568165556293,126.41,-109.60667702524145,126.166,95.99310885968517,
SFT:,126.728,-13.613568165556293,126.978,-109.60667702524145,126.728,95.99310885968517,
SFT:,127.298,-14.660765716752927,127.148,-108.90854532444547,127.298,94.24777960769254,
SFT:,127.865,-15.009831567148511,127.726,-108.90854532444547,127.865,93.89871375729696,
SFT:,128.239,-15.358897417553974,128.267,-108.21041362364912,128.239,92.85151620609514,
SFT:,128.789,-15.009831567143523,128.824,-106.11601852125592,128.789,91.1061869541124,
SFT:,129.349,-15.707963267944603,129.372,-104.37068926926335,129.349,88.66272600131875,
SFT:,129.912,-15.707963267954518,129.932,-103.3234917180615,129.912,87.61552845010698,
SFT:,130.467,-15.707963267954518,130.484,-102.97442586767104,130.467,87.26646259971653,
SFT:,130.847,-15.707963267954518,130.851,-102.97442586766124,130.847,87.26646259970673,
SFT:,131.412,-16.05702911834514,131.411,-103.3234917180615,131.412,87.26646259971636,
SFT:,131.966,-15.358897417553974,131.965,-104.02162341886275,131.966,88.66272600130877,
SFT:,132.141,-15.707963267944603,132.34,-104.71975511966362,132.141,89.01179185171901,
